,estimate,ci_l,ci_u
beta,-0.06,-0.07,-0.03
alpha12,14.56,12.3,16.53
alpha21,14.56,12.93,17.32
gamma12,0.74,0.66,0.87
gamma21,0.74,0.64,0.84
