DoseA,DoseB,effect
0.0,0.0,0.9352018324545972
0.1871802735192836,0.18240909984410814,0.7648399724801606
0.34478706856168406,0.3366223057296949,0.6199767214858803
0.4809027313742124,0.47020059033248285,0.5141435995559419
0.6006911478934877,0.5880200960073801,0.4381669383091165
0.7076530777469601,0.6934097867224028,0.39352221595781933
,,0.6539548133886508
,,0.5734879494654532
,,0.48065070413784955
,,0.4143098247354471
,,0.39352221595781933
,,0.39352221595781933
,,0.4573241630735942
,,0.4163903340851822
,,0.39352221595781933
,,0.39352221595781933
,,0.39352221595781933
,,0.39352221595781933
,,0.3446676041316615
,,0.32218853088699745
,,0.30367706726166743
,,0.39352221595781933
,,0.39352221595781933
,,0.39352221595781933
,,0.2841807660242783
,,0.272806057097344
,,0.2637394164603
,,0.30367706726166743
,,0.39352221595781933
,,0.39352221595781933
,,0.25661209713219835
,,0.25661209713219835
,,0.25661209713219835
,,0.2637394164603
,,0.2982865084162379
,,0.39352221595781933
