DoseA,DoseB,effect
0.0,0.0,0.9784023140944383
0.1871802735192836,0.18240909984410814,0.7852696404932866
0.34478706856168406,0.3366223057296949,0.6376935406154671
0.4809027313742124,0.47020059033248285,0.5288419081238492
0.6006911478934877,0.5880200960073801,0.45001564859283605
0.7076530777469601,0.6934097867224028,0.39352221595781933
,,0.6590266911704714
,,0.5388423840690151
,,0.45186007815291096
,,0.39097770803499843
,,0.3490917596536867
,,0.3205064909172576
,,0.4633239722411932
,,0.39293954793740205
,,0.3444583208064142
,,0.3119016712059607
,,0.290118564917252
,,0.2753149853523761
,,0.3496957042286119
,,0.3106536875348786
,,0.2840341220810063
,,0.26564734887768415
,,0.2522932775793298
,,0.24182723951207732
,,0.28765643223874504
,,0.2662680661032322
,,0.2497622600374285
,,0.23596287520004475
,,0.2234456208959988
,,0.21142008940141843
,,0.25661209713219835
,,0.2431459558801673
,,0.22881209956570936
,,0.21342213943320207
,,0.19708220302265167
,,0.18007106418352695
