,fa,fb,xx_a,xx_b
0,5.044336877105005e-05,5.044336877105005e-05,0.0,0.0
1,-0.0031749092775932033,-0.0031749447995790842,2.0408163265306123,2.0408163265306123
2,0.0018618922324738613,0.0018618574649622013,4.081632653061225,4.081632653061225
3,0.005701207912894666,0.005701185343227153,6.122448979591837,6.122448979591837
4,0.00604820660063467,0.006048196710521582,8.16326530612245,8.16326530612245
5,0.003786289189626391,0.0037862886101626327,10.204081632653061,10.204081632653061
6,0.0008530268747659434,0.0008530316449330828,12.244897959183675,12.244897959183675
7,-0.0007789091717434914,-0.0007789023243596179,14.285714285714286,14.285714285714286
8,0.00047845163723833395,0.00047845830370222935,16.3265306122449,16.3265306122449
9,0.005711836059557696,0.005711841239672118,18.367346938775512,18.367346938775512
10,0.015530952146778515,0.015530955276970381,20.408163265306122,20.408163265306122
11,0.030148403647366883,0.03014840467559453,22.448979591836736,22.448979591836736
12,0.04947302749075649,0.0494730266827231,24.48979591836735,24.48979591836735
13,0.07319729605699168,0.0731972938442525,26.53061224489796,26.53061224489796
14,0.10087127797638663,0.10087127484342243,28.571428571428573,28.571428571428573
15,0.13196150548181534,0.13196150191071035,30.612244897959183,30.612244897959183
16,0.16589576805901943,0.16589576445776852,32.6530612244898,32.6530612244898
17,0.20209588166316914,0.2020958783695562,34.69387755102041,34.69387755102041
18,0.2400007014255965,0.2400006986879845,36.734693877551024,36.734693877551024
19,0.27908149302934493,0.2790814910130477,38.775510204081634,38.775510204081634
20,0.3188514822087525,0.31885148099458793,40.816326530612244,40.816326530612244
21,0.3588710749637041,0.35887107456989303,42.85714285714286,42.85714285714286
22,0.39874993565610567,0.3987499360411412,44.89795918367347,44.89795918367347
23,0.4381468457978122,0.43814684688180155,46.93877551020408,46.93877551020408
24,0.4767680480710685,0.47676804974258424,48.9795918367347,48.9795918367347
25,0.5143646048120404,0.5143646069377497,51.02040816326531,51.02040816326531
26,0.5507291623507267,0.5507291647884359,53.06122448979592,53.06122448979592
27,0.5856924059755209,0.5856924085768079,55.10204081632653,55.10204081632653
28,0.6191194085777378,0.6191194112046986,57.142857142857146,57.142857142857146
29,0.6509060145051209,0.6509060170238193,59.183673469387756,59.183673469387756
30,0.6809753538273867,0.6809753561230805,61.224489795918366,61.224489795918366
31,0.7092745482406771,0.7092745502132589,63.26530612244898,63.26530612244898
32,0.7357716446785539,0.7357716462460585,65.3061224489796,65.3061224489796
33,0.7604527948539759,0.7604527959566818,67.34693877551021,67.34693877551021
34,0.7833196861040188,0.7833196867040376,69.38775510204081,69.38775510204081
35,0.8043872201205042,0.8043872202024424,71.42857142857143,71.42857142857143
36,0.8236814302772494,0.8236814298474068,73.46938775510205,73.46938775510205
37,0.8412376244360206,0.8412376235233276,75.51020408163265,75.51020408163265
38,0.8570987380314302,0.8570987366801046,77.55102040816327,77.55102040816327
39,0.8713138810385902,0.8713138793180186,79.59183673469389,79.59183673469389
40,0.8839370622602836,0.8839370602561252,81.63265306122449,81.63265306122449
41,0.8950260745645208,0.8950260723727304,83.6734693877551,83.6734693877551
42,0.9046415253513825,0.9046415230920046,85.71428571428572,85.71428571428572
43,0.9128459974299045,0.9128459952333641,87.75510204081633,87.75510204081633
44,0.9197033263984997,0.9197033244076516,89.79591836734694,89.79591836734694
45,0.9252779817737448,0.925277980138566,91.83673469387756,91.83673469387756
46,0.9296345400981414,0.92963453898475,93.87755102040816,93.87755102040816
47,0.9328372393944969,0.9328372389715957,95.91836734693878,95.91836734693878
48,0.9349496052673865,0.934949605711236,97.9591836734694,97.9591836734694
49,0.9360341399688002,0.9360341414622662,100.0,100.0
