DoseA,DoseB,difference
0.0,0.0,-0.04320048163984114
0.1871802735192836,0.18240909984410814,-0.020429668013126068
0.34478706856168406,0.3366223057296949,-0.01771681912958678
0.4809027313742124,0.47020059033248285,-0.014698308567907326
0.6006911478934877,0.5880200960073801,-0.011848710283719532
0.7076530777469601,0.6934097867224028,0.0
,,-0.005071877781820611
,,0.03464556539643815
,,0.02879062598493859
,,0.023332116700448657
,,0.044430456304132615
,,0.07301572504056175
,,-0.005999809167599013
,,0.023450786147780178
,,0.049063895151405135
,,0.08162054475185865
,,0.10340365104056731
,,0.11820723060544325
,,-0.0050281000969504275
,,0.011534843352118851
,,0.01964294518066112
,,0.12787486708013518
,,0.14122893837848954
,,0.151694976445742
,,-0.003475666214466766
,,0.006537990994111786
,,0.013977156422871534
,,0.06771419206162269
,,0.17007659506182055
,,0.1821021265564009
,,0.0
,,0.01346614125203105
,,0.027799997566488988
,,0.050317277027097956
,,0.10120430539358621
,,0.21345115177429239
