,fa,fb,xx_a,xx_b
0,-0.00037063251078958356,-0.00037063251078958356,0.0,0.0
1,0.014895128084351004,0.014895125944704964,2.0408163265306123,2.0408163265306123
2,0.01977758914866894,0.01977758698027403,4.081632653061225,4.081632653061225
3,0.017537649419938975,0.017537647966368086,6.122448979591837,6.122448979591837
4,0.011514147732981856,0.011514147088742642,8.16326530612245,8.16326530612245
5,0.004594905051597059,0.004594905048963,10.204081632653061,10.204081632653061
6,-0.0009652285936559662,-0.0009652281975514056,12.244897959183675,12.244897959183675
7,-0.0035512138438918697,-0.0035512132680172717,14.285714285714286,14.285714285714286
8,-0.00211555990622566,-0.002115559322226894,16.3265306122449,16.3265306122449
9,0.003921786056427371,0.00392178654143958,18.367346938775512,18.367346938775512
10,0.014775562631176012,0.014775562957503208,20.408163265306122,20.408163265306122
11,0.030387499810808787,0.030387499959002248,22.448979591836736,22.448979591836736
12,0.05050443676063431,0.050504436739428823,24.48979591836735,24.48979591836735
13,0.07474167070061875,0.07474167053888195,26.53061224489796,26.53061224489796
14,0.1026327262836892,0.10263272601138032,28.571428571428573,28.571428571428573
15,0.1336674254022183,0.13366742506041027,30.612244897959183,30.612244897959183
16,0.16732027364794133,0.1673202732753478,32.6530612244898,32.6530612244898
17,0.20307105102278505,0.20307105065162212,34.69387755102041,34.69387755102041
18,0.2404192571036435,0.24041925675763984,36.734693877551024,36.734693877551024
19,0.27889379560547906,0.2788937953095607,38.775510204081634,38.775510204081634
20,0.318059029775673,0.3180590295432409,40.816326530612244,40.816326530612244
21,0.35751811522484317,0.35751811506476977,42.85714285714286,42.85714285714286
22,0.396914326136159,0.39691432604931676,44.89795918367347,44.89795918367347
23,0.43593093323353926,0.43593093321710363,46.93877551020408,46.93877551020408
24,0.474290064425305,0.47429006447528954,48.9795918367347,48.9795918367347
25,0.5117508772150262,0.511750877322258,51.02040816326531,51.02040816326531
26,0.548107291509703,0.5481072916633752,53.06122448979592,53.06122448979592
27,0.5831854685318614,0.5831854687190149,55.10204081632653,55.10204081632653
28,0.6168411725798176,0.6168411727870537,57.142857142857146,57.142857142857146
29,0.6489571146203711,0.6489571148343357,59.183673469387756,59.183673469387756
30,0.679440347823021,0.6794403480315817,61.224489795918366,61.224489795918366
31,0.7082197630670773,0.7082197632593586,63.26530612244898,63.26530612244898
32,0.735243715936218,0.7352437161006049,65.3061224489796,65.3061224489796
33,0.76047780423978,0.7604778043716184,67.34693877551021,67.34693877551021
34,0.7839028060013694,0.7839028060935719,69.38775510204081,69.38775510204081
35,0.80551278109259,0.8055127811400178,71.42857142857143,71.42857142857143
36,0.8253133350209223,0.8253133350207312,73.46938775510205,73.46938775510205
37,0.8433200399617541,0.8433200399164212,75.51020408163265,75.51020408163265
38,0.85955700598528,0.8595570058969171,77.55102040816327,77.55102040816327
39,0.874055593938355,0.874055593810606,79.59183673469389,79.59183673469389
40,0.8868532607076354,0.8868532605478101,81.63265306122449,81.63265306122449
41,0.8979925272169094,0.8979925270343238,83.6734693877551,83.6734693877551
42,0.9075200594735152,0.9075200592789796,85.71428571428572,85.71428571428572
43,0.9154858532010052,0.9154858530064106,87.75510204081633,87.75510204081633
44,0.9219425129222075,0.9219425127442504,89.79591836734694,89.79591836734694
45,0.9269446168710312,0.9269446167259365,91.83673469387756,91.83673469387756
46,0.9305481595344949,0.9305481594370283,93.87755102040816,93.87755102040816
47,0.932810064283695,0.9328100642555027,95.91836734693878,95.91836734693878
48,0.9337877590561863,0.9337877591201369,97.9591836734694,97.9591836734694
49,0.9335388086042783,0.9335388087812284,100.0,100.0
