DoseA,DoseB,effect
0.0,0.0,-0.02159768590556166
0.1871802735192836,0.18240909984410814,0.009269640493286602
0.34478706856168406,0.3366223057296949,0.008693540615467121
0.4809027313742124,0.47020059033248285,-0.0031580918761507926
0.6006911478934877,0.5880200960073801,0.005015648592836042
0.7076530777469601,0.6934097867224028,-0.0014777840421806854
,,0.048026691170471425
,,0.010842384069015054
,,0.0058600781529109525
,,-0.02202229196500155
,,-0.02390824034631328
,,-0.0034935090827424298
,,-0.0016760277588068195
,,-0.022060452062597935
,,-0.01854167919358579
,,-0.007098328794039321
,,0.0021185649172520415
,,0.0023149853523760644
,,-0.011304295771388084
,,-0.019346312465121418
,,-0.01896587791899368
,,-0.00035265112231586127
,,0.00029327757932978704
,,0.008827239512077312
,,-0.0053435677612549415
,,0.0012680661032322127
,,-0.004237739962571513
,,-0.002037124799955242
,,0.004445620895998786
,,0.007420089401418445
,,0.004612097132198345
,,0.006145955880167309
,,0.012812099565709362
,,0.012422139433202056
,,-0.0009177969773483396
,,-0.0029289358164730495
