,0,1,2
0,0.0,0.0,-0.18491052232751315
1,0.0,0.0,-0.18491052232751315
2,0.0,0.0,-0.18491052232751315
3,2.0,0.0,-0.007450725274935621
4,5.0,0.0,-0.013361937362105891
5,10.0,0.0,-0.013984418714308333
6,20.0,0.0,-0.01034104997906482
7,50.0,0.0,0.0
8,0.0,0.0,-0.18491052232751315
9,0.0,0.0,-0.18491052232751315
10,0.0,0.0,-0.18491052232751315
11,2.0,0.0,-0.007450725274935621
12,5.0,0.0,-0.013361937362105891
13,10.0,0.0,-0.013984418714308333
14,20.0,0.0,-0.01034104997906482
15,50.0,0.0,0.0
16,0.0,0.0,-0.18491052232751315
17,0.0,0.0,-0.18491052232751315
18,0.0,0.0,-0.18491052232751315
19,2.0,0.0,-0.007450725274935621
20,5.0,0.0,-0.013361937362105891
21,10.0,0.0,-0.013984418714308333
22,20.0,0.0,-0.01034104997906482
23,50.0,0.0,0.0
24,0.0,0.2,-0.006168248925931152
25,0.0,0.2,-0.006168248925931152
26,0.0,0.2,-0.006168248925931152
27,2.0,0.2,-1.3552015259382415
28,5.0,0.2,0.39327324282907483
29,10.0,0.2,1.7090174707381962
30,20.0,0.2,1.7108355794122616
31,50.0,0.2,1.6289094237227797
32,0.0,0.5,-0.01369840246388776
33,0.0,0.5,-0.01369840246388776
34,0.0,0.5,-0.01369840246388776
35,2.0,0.5,-0.8313422770813403
36,5.0,0.5,1.1287014596730671
37,10.0,0.5,3.823380706531985
38,20.0,0.5,3.8058988514359484
39,50.0,0.5,4.064897440276363
40,0.0,1.0,-0.019687376391999578
41,0.0,1.0,-0.019687376391999578
42,0.0,1.0,-0.019687376391999578
43,2.0,1.0,0.12110500294869553
44,5.0,1.0,1.5551419597206326
45,10.0,1.0,4.125000267054176
46,20.0,1.0,4.51789785719386
47,50.0,1.0,7.518439626832556
48,0.0,2.0,-0.01753509048115731
49,0.0,2.0,-0.01753509048115731
50,0.0,2.0,-0.01753509048115731
51,2.0,2.0,1.039810365038825
52,5.0,2.0,1.6394943674885045
53,10.0,2.0,1.7113916798402542
54,20.0,2.0,7.17125107898757
55,50.0,2.0,11.88406387564255
56,0.0,5.0,0.0
57,0.0,5.0,0.0
58,0.0,5.0,0.0
59,2.0,5.0,0.5739075225495687
60,5.0,5.0,0.5053202032830297
61,10.0,5.0,0.08604315648240579
62,20.0,5.0,0.506161968629038
63,50.0,5.0,15.537586311778783
