DoseA,DoseB,effect
0.0,0.0,0.989690085461567
0.1979715802524178,0.18261741546205837,0.782453829667764
0.36315276984155886,0.33697936933098727,0.6334243473599106
0.5048779242948331,0.4706691881990711,0.527180842844339
0.6289877911916105,0.5885754269171465,0.4505712254295197
0.7393811082207546,0.694034494096617,0.39402181721550583
,,0.6424232872315104
,,0.5258112359603874
,,0.44603133577734894
,,0.3906490235111558
,,0.35056177665153276
,,0.31981354804884177
,,0.4546844600867007
,,0.39183424236997927
,,0.3499182603793288
,,0.32014530584946077
,,0.2968732366747674
,,0.27684385467613576
,,0.35358174185355445
,,0.31982200149732454
,,0.29621820926326436
,,0.27731990821830865
,,0.26010536075533697
,,0.24314416958812926
,,0.2949228920439415
,,0.27462448810901724
,,0.25791161733930307
,,0.2419858023077972
,,0.2256160785686553
,,0.20847973931425162
,,0.2537063844586722
,,0.23742574138470202
,,0.22140102691318975
,,0.20470461808928506
,,0.18717781127721922
,,0.16904822711100484
