DoseA,DoseB,effect
0.0,0.0,-0.010309914538432996
0.1979715802524178,0.18261741546205837,0.006453829667763977
0.36315276984155886,0.33697936933098727,0.0044243473599105965
0.5048779242948331,0.4706691881990711,-0.004819157155661058
0.6289877911916105,0.5885754269171465,0.0055712254295197106
0.7393811082207546,0.694034494096617,-0.000978182784494186
,,0.031423287231510444
,,-0.002188764039612656
,,3.133577734892867e-05
,,-0.022350976488844154
,,-0.022438223348467234
,,-0.004186451951158243
,,-0.01031553991329931
,,-0.02316575763002071
,,-0.013081739620671162
,,0.0011453058494607649
,,0.008873236674767415
,,0.0038438546761357384
,,-0.007418258146445533
,,-0.010177998502675478
,,-0.006781790736735627
,,0.011319908218308639
,,0.008105360755336966
,,0.010144169588129248
,,0.0019228920439415265
,,0.009624488109017226
,,0.003911617339303064
,,0.003985802307797215
,,0.006616078568655287
,,0.004479739314251635
,,0.0017063844586722166
,,0.0004257413847020275
,,0.005401026913189749
,,0.0037046180892850444
,,-0.01082218872278079
,,-0.013951772888995156
