DoseA,DoseB,difference
0.0,0.0,-0.04769553871695942
0.1979715802524178,0.18261741546205837,-0.021067494261356234
0.36315276984155886,0.33697936933098727,-0.017451765627221283
0.5048779242948331,0.4706691881990711,-0.014236113797490901
0.6289877911916105,0.5885754269171465,-0.01166071862229584
0.7393811082207546,0.694034494096617,0.0
,,-0.00512058731831333
,,0.05548905197366871
,,0.04216333233981967
,,0.030186390465983926
,,0.04346004056397307
,,0.07420826916666406
,,-0.0054403537801476776
,,0.03218373217551229
,,0.07091715359781092
,,0.07387651136604506
,,0.09714858054073844
,,0.11717796253937007
,,-0.004480314227576332
,,0.015359940905297187
,,0.03896373313935736
,,0.11670190899719718
,,0.13391645646016886
,,0.15087764762737657
,,-0.003779374471844177
,,0.007491505770234053
,,0.024204376539948225
,,0.0692551354865763
,,0.16840573864685054
,,0.1855420779012542
,,0.0
,,0.016280643073970202
,,0.03230535754548247
,,0.06073078443667543
,,0.11873518070445455
,,0.224973590104501
