DoseA,DoseB,effect
0.0,0.0,0.9419945467446076
0.1979715802524178,0.18261741546205837,0.7613863354064078
0.36315276984155886,0.33697936933098727,0.6159725817326893
0.5048779242948331,0.4706691881990711,0.5129447290468481
0.6289877911916105,0.5885754269171465,0.4389105068072239
0.7393811082207546,0.694034494096617,0.39402181721550583
,,0.6373026999131971
,,0.5813002879340561
,,0.4881946681171686
,,0.42083541397713975
,,0.39402181721550583
,,0.39402181721550583
,,0.44924410630655304
,,0.42401797454549156
,,0.42083541397713975
,,0.39402181721550583
,,0.39402181721550583
,,0.39402181721550583
,,0.3491014276259781
,,0.3351819424026217
,,0.3351819424026217
,,0.39402181721550583
,,0.39402181721550583
,,0.39402181721550583
,,0.29114351757209733
,,0.2821159938792513
,,0.2821159938792513
,,0.3112409377943735
,,0.39402181721550583
,,0.39402181721550583
,,0.2537063844586722
,,0.2537063844586722
,,0.2537063844586722
,,0.2654354025259605
,,0.30591299198167377
,,0.39402181721550583
