,estimate,ci_l,ci_u
beta,-13676.23,-96449.58,48404.66
alpha12,0.01,0.0,0.01
alpha21,0.0,0.0,0.28
gamma12,18.66,18.66,inf
gamma21,0.76,0.0,28.27
