,0,1,2
0,0.0,0.0,-1.609365058588665
1,0.0,0.2,7.7046319242538885
2,0.0,0.5,-3.127436573322413
3,0.0,1.0,-2.8584309232599807
4,0.0,2.0,3.8015259401823585
5,0.0,5.0,-0.4474386300401232
6,2.0,0.0,8.791306739502431
7,5.0,0.0,-5.777942884106054
8,10.0,0.0,1.2217943505956441
9,20.0,0.0,1.7216979243527675
10,50.0,0.0,-1.936248036615126
11,2.0,0.2,-6.154821913998006
12,2.0,0.5,6.085704569021566
13,2.0,1.0,-7.102244275276526
14,2.0,2.0,4.319166010900862
15,2.0,5.0,-0.42295501196977625
16,5.0,0.2,-0.1574619125776664
17,5.0,0.5,-2.7214104485147033
18,5.0,1.0,3.3097107957984946
19,5.0,2.0,-1.235994728017328
20,5.0,5.0,-0.9483580419604483
21,10.0,0.2,-3.50175643818897
22,10.0,0.5,-0.9804444293219134
23,10.0,1.0,1.3791498142335747
24,10.0,2.0,0.5090299634680449
25,10.0,5.0,-1.0864001808667765
26,20.0,0.2,4.342249837830707
27,20.0,0.5,2.0621524807060183
28,20.0,1.0,-2.0041042355454106
29,20.0,2.0,-0.2334313146160527
30,20.0,5.0,-0.3588718930247834
31,50.0,0.2,-0.4668756268811194
32,50.0,0.5,-0.23387331885902896
33,50.0,1.0,0.5761890037815212
34,50.0,2.0,0.3428054939828753
35,50.0,5.0,0.5185169048190709
