,estimate,ci_l,ci_u
beta,-0.0,-0.06,0.07
alpha12,0.63,0.0,3.3
alpha21,1.05,0.0,6.62
gamma12,1.49,0.03,20.51
gamma21,1.06,0.01,32.72
